_sort,id,published,name,pre_headline,title,lead_text,embedded_html_base_name,language_code,urlname,slug,link,_request,_article_bib_key,how_to_cite,pure_html_asset,pure_pdf_asset,doi,created_at,page_layout,tag_page_type,tag_media,tag_content_type,tag_language,tag_institution,tag_canton,tag_project,tag_public,tag_references,tag_footnotes,ref_bib_keys,references_asset_url,_further_refs,further_references_asset_url,_depends_on,_to_do_on_the_portal,assigned_authors,intro_image_asset,intro_image_portal,audio_assets,audios_portal,video_assets,videos_portal,pdf_assets,pdfs_portal,picture_assets,pictures_portal,text_and_picture_assets,text_and_pictures_portal,box_assets,_attachment_links_assets,attachment_links_portal,has_html_header_tags,links_in_text_or_embed_blocks,themetags_discipline,themetags_focus,themetags_structural,status,changes_made,error_message,error_trace,,
1827,3131,,Wer ist eigentlich schuld am Klimawandel?,,Wer ist eigentlich schuld am Klimawandel?,"<p>Wenn man heute im Internet sucht: „Wer ist schuld am Klimawandel?“, erhält man Dutzende von Seiten, deren Inhalt sich um die Frage dreht, ob der Mensch schuld sei oder die Natur.</p>",,en-UK,2019-02-19-rehmannsutter,/2019-02-19-rehmannsutter,https://www.philosophie.ch/2019-02-19-rehmannsutter,GET,,,,,,43515,article,article,,,German,,,,,,,,,,,,,rehmannsutter,2019-02-19-rehmannsutter.jpg,burrowing-3649048_640.jpg,,,,,,,,,,,,,,,,Angewandte Ethik,Klimaethik,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ burrowing-3649048_640.jpg }},,,,
2449,3159,,Der schwarze Highheel,,Der schwarze Highheel,<p>von Identität zu Assemblage</p>,,en-UK,2019-03-01-martach,/2019-03-01-martach,https://www.philosophie.ch/2019-03-01-martach,GET,,,,,,43525,article,media article,video,,German,,,,,,,,,,,,PB check,martach-s,2019-03-01-martach.png,Der schwarze Highheel.png,,,,,,,,,,,,,,,,Philosophie des Sozialen,,video,,"tag_page_type: {{  }} => {{ media article }} ;;; tag_media: {{  }} => {{ video }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ Der schwarze Highheel.png }} ;;; themetags_structural: {{ video, }} => {{ video }}",,,,
609,3162,,EVENT/ARTICLE Himmlische Quellen und irdisches Recht: Religiöse Voraussetzungen des freiheitlichen Verfassungsstaates,,Himmlische Quellen und irdisches Recht: Religiöse Voraussetzungen des freiheitlichen Verfassungsstaates,"<p>Symposion mit Prof. Dr. Tine Stein (Göttingen)</p> <p>Theologische Fakultät, Kirchgasse 9, 8001 Zürich; Raum 308</p>",,en-UK,2019-04-19-foxs,/2019-04-19-foxs,https://www.philosophie.ch/2019-04-19-foxs,GET,,,,,,43484,article,article about event,,,German,,ZH,,,,,,,,,,,foxs,logo-FoXs.png,logo-FoXs.png,,,,,,,,,,,,,,,,,,Zürich,,"lead_text: {{ <p>Symposion mit Prof. Dr. Tine Stein (Göttingen)</p> <p>Theologische Fakultät, Kirchgasse 9, 8001 Zürich; Raum 308</p> }} => {{ <p>Symposion mit Prof. Dr. Tine Stein (Göttingen)</p> <p>Theologische Fakultät, Kirchgasse 9, 8001 Zürich; Raum 308</p> }} ;;; tag_page_type: {{  }} => {{ article about event }} ;;; tag_language: {{  }} => {{ German }} ;;; tag_canton: {{  }} => {{ ZH }} ;;; intro_image_portal: {{  }} => {{ logo-FoXs.png }}",,,,
1831,3173,,"Philosophie, oder das menschliche Denken verstehen",,"Philosophie, oder das menschliche Denken verstehen","<p>Traditionalismus, oder Antipostmodernismus. Ein Post-Interview wider Neomarxismus und Postmodernismus. Einige verspätete Überlegungen zu Richard Rortys Antworten.</p>",,en-UK,2019-03-11-roggo,/2019-03-11-roggo,https://www.philosophie.ch/2019-03-11-roggo,GET,,,,,,43535,article,article,,,German,,,,,,,,,,,,,roggo-m,2019-03-11-roggo.jpg,time-losing-time-clock-pocket-w.jpg,,,,,,,,,,,,,,,,Philosophie der Moderne und Gegenwart,,,,pre_headline: {{ <p>von Matthias Roggo</p> }} => {{  }} ;;; tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ time-losing-time-clock-pocket-w.jpg }},,,,
1832,3189,,Wie denken wir über Emotionen und Schmerzen?,<p>Philosophie in der Schweiz - Forschungsprojekte</p>,Wie denken wir über Emotionen und Schmerzen?,"<p>Affektive Zustände wie Emotionen und Schmerzen haben eine positive oder negative Komponente des Erlebens. So fühlt es sich zum Beispiel schlecht an Kopfschmerzen zu haben und gut, wenn man vor Freude tanzen will.</p>",,en-UK,2019-03-15-reuter,/2019-03-15-reuter,https://www.philosophie.ch/2019-03-15-reuter,GET,,,,,,43539,article,article,,,German,,,FNS19,,,,,,,,,,reuter-k,2019-03-15-reuter.jpg,John_George_Brown_-_Mutual_Admiration.jpg,,,,,,,,,,,,,,,,"Theoretische Ethik, Philosophie des Geistes",,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; tag_project: {{  }} => {{ FNS19 }} ;;; intro_image_portal: {{  }} => {{ John_George_Brown_-_Mutual_Admiration.jpg }},,,,
1840,3190,,Der Materialismusstreit auf Osmanisch,<p>Philosophie in der Schweiz - Forschungsprojekte</p>,Der Materialismusstreit auf Osmanisch,<p>Blickt die Philosophie in der Türkei auf eine eigene moderne Geschichte zurück? Oder kann dabei lediglich von einer Geschichte der Rezeption moderner europäischer Philosophien die Rede sein?</p>,,en-UK,2019-04-19-imeri,/2019-04-19-imeri,https://www.philosophie.ch/2019-04-19-imeri,GET,,,,,,43574,article,article,,,German,,,FNS19,,,,,,,,,,imeri-e,2019-04-19-imeri.jpg,emeri_gri_96_r_14_b129_019.jpg,,,,,,,,,,,,,,,,,,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; tag_project: {{  }} => {{ FNS19 }} ;;; intro_image_portal: {{  }} => {{ emeri_gri_96_r_14_b129_019.jpg }},,,,
937,3191,,Wann weiss ich etwas?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Wann weiss ich etwas?,"<p>Hängt Wissen von Bedingungen ab? Und wenn ja, welchen?</p> <p>Kralle möchte nicht nur etwas behaupten, sondern über hieb und stichfestes Wissen verfügen!</p>",,en-UK,2019-03-15-kralle,/2019-03-15-kralle,https://www.philosophie.ch/2019-03-15-kralle,GET,,,,,,43539,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-03-15-kralle.png,2019_thumb_wissen.png,,,,,,,,,,,,,,,,,,,,"name: {{ Was heisst Wissen? }} => {{ Wann weiss ich etwas? }} ;;; pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Hängt Wissen von Bedingungen ab? Und wenn ja, welchen?</p> <p>Kralle möchte nicht nur etwas behaupten, sondern über hieb und stichfestes Wissen verfügen!</p> }} => {{ <p>Hängt Wissen von Bedingungen ab? Und wenn ja, welchen?</p> <p>Kralle möchte nicht nur etwas behaupten, sondern über hieb und stichfestes Wissen verfügen!</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_wissen.png }}",,,,
938,3193,,Kann Sprache wahr sein?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Kann Sprache wahr sein?,"<p>Wann entsprechen Wörter der Welt?</p> <p>Kralle setzt sich mit der Bildtheorie auseinander und bemerkt, wie schwierig es ist, die Welt genauso darzustellen, wie sie ist.</p>",,en-UK,2019-03-19-kralle,/2019-03-19-kralle,https://www.philosophie.ch/2019-03-19-kralle,GET,,,,,,43543,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-03-19-kralle.png,2019_thumb_wittgenstein.png,,,,,,,,,,,,,,,,Sprachphilosophie,,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Wann entsprechen Wörter der Welt?</p> <p>Kralle setzt sich mit der Bildtheorie auseinander und bemerkt, wie schwierig es ist, die Welt genauso darzustellen, wie sie ist.</p> }} => {{ <p>Wann entsprechen Wörter der Welt?</p> <p>Kralle setzt sich mit der Bildtheorie auseinander und bemerkt, wie schwierig es ist, die Welt genauso darzustellen, wie sie ist.</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_wittgenstein.png }}",,,,
1837,3198,,Gender als Mittel gegen Machtmissbrauch,,Gender als Mittel gegen Machtmissbrauch,<p>Gender als notwendiges Heilmittel gegen den sexuellen Missbrauch in der römisch-katholischen Kirche.</p>,,en-UK,2019-04-02-moser,/2019-04-02-moser,https://www.philosophie.ch/2019-04-02-moser,GET,,,,,,43557,article,article,,,German,,,,,,,,,,,,,moser-su,2019-04-02-moser.JPG,Intercession_of_Charles_Borromeo_supported_by_the_Virgin_Mary_-_Detail_Rottmayr_Fresco_-_Karlskirche_-_Vienna.JPG,,,,,,,,,,,,,,,,Philosophie des Sozialen,Feminismus,,,pre_headline: {{ <p> </p> <p> </p> }} => {{  }} ;;; tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ Intercession_of_Charles_Borromeo_supported_by_the_Virgin_Mary_-_Detail_Rottmayr_Fresco_-_Karlskirche_-_Vienna.JPG }},,,,
1835,3202,,Künstliche Intelligenz – Künstliches Problem?,<p>Freier Beitrag</p>,Künstliche Intelligenz – Künstliches Problem?,<p>Eine kritische Analyse medialer Diskurse zur Bedeutung der zukünftigen Rolle von KI für das menschliche Dasein</p>,,en-UK,2019-03-29-strauss,/2019-03-29-strauss,https://www.philosophie.ch/2019-03-29-strauss,GET,,,,,,43553,article,article,,,German,,,,,,,,,,,,,strauss-s,2019-03-29-strauss.jpg,Humans you are fucked.jpg,,,,,,,2019-03-29-strauss-pic1.png,what are we going to do....png,,,,,,,,,KI,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ Humans you are fucked.jpg }} ;;; pictures_portal: {{  }} => {{ what are we going to do....png }},,,,
1833,3204,,Vom Waren-Hören und Waren-Sehen. Mechanismen von Kulturindustrie,,Vom Waren-Hören und Waren-Sehen. Mechanismen von Kulturindustrie,<p>In Zeiten der Allgegenwärtigkeit von musikalischer Berieselung und der Bebilderung unseres Alltags – sei es beim Einkaufen im Supermarkt oder auf den Monitoren in U- und S-Bahnen - stellt sich die Frage nach der Relevanz.</p>,,en-UK,2019-03-23-ramming,/2019-03-23-ramming,https://www.philosophie.ch/2019-03-23-ramming,GET,,,,,,43547,article,article,,,German,,,,,,,,,,,,,ramming-u,2019-03-23-ramming.png,16mmBWrevDP.png,,,,,,,,,,,,,,,,Ästhetik,,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 16mmBWrevDP.png }},,,,
939,3210,,Wie ist ein moralisches Urteil zu verstehen?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Wie ist ein moralisches Urteil zu verstehen?,"<p>Gibt es mehr als nur eine, ""richtige"" Moral?</p> <p>Kralle befasst sich mit Metaethik und bemerkt, dass moralische Urteile unterschiedlich aufgefasst werden können.</p>",,en-UK,2019-03-26-kralle,/2019-03-26-kralle,https://www.philosophie.ch/2019-03-26-kralle,GET,,,,,,43550,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-03-26-kralle.png,2019_thumb_metaethik.png,,,,,,,,,,,,,,,,Theoretische Ethik,,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Gibt es mehr als nur eine, ""richtige"" Moral?</p> <p>Kralle befasst sich mit Metaethik und bemerkt, dass moralische Urteile unterschiedlich aufgefasst werden können.</p> }} => {{ <p>Gibt es mehr als nur eine, ""richtige"" Moral?</p> <p>Kralle befasst sich mit Metaethik und bemerkt, dass moralische Urteile unterschiedlich aufgefasst werden können.</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_metaethik.png }}",,,,
1834,3218,,Begriffe und Praktiken der Darstellung,<p>Philosophie in der Schweiz - Forschungsprojekte</p>,"Begriffe und Praktiken der Darstellung in Philosophie, Chemie und Malerei um 1800","<p>Es ist bekannt, dass die Zeit um 1800 nicht zuletzt in der Philosophie bahnbrechende Neuerungen mit sich gebracht hat, die bis heute die philosophische Terminologie wie die alltagssprachliche Semantik durchziehen. Wenig beachtet wurde hingegen, dass viele Philosophen damals ihre eigenen Projekte plötzlich als ‚Darstellungen‘ verstanden.</p>",,en-UK,2019-03-27-schubbach,/2019-03-27-schubbach,https://www.philosophie.ch/2019-03-27-schubbach,GET,,,,,,43551,article,article,,,German,,,FNS19,,,,,,,,,,schubbach,2019-03-27-schubbach.png,Euklid_Prop_32_Illustration-1.png,,,,,,,,,,,,,,,,"Geschichtsphilosophie, Philosophie der Moderne und Gegenwart",,,,intro_image_portal: {{  }} => {{ Euklid_Prop_32_Illustration-1.png }},,,,
672,3229,,Über positive Diskriminierung - ein Essay,,Über positive Diskriminierung - ein Essay,"<p>von Oona Wälti (Gymnasium Neufeld, BE), <a href=""https://science.olympiad.ch/de/aktuell/detail/news/news/essays-der-gewinnerinnen/"" target=""_blank"" rel=""noopener"" data-link-target=""blank"">Gewinnerin der Philosophie-Olympiade</a></p>",,en-UK,2019-04-02-waelti,/2019-04-02-waelti,https://www.philosophie.ch/2019-04-02-waelti,GET,,,,,,43557,article,article,,,German,,,philosophy olympiad,high schools,,,,,,,,,waelti-o,2019-04-02-waelti.jpg,justice-2071539_640.jpg,,,,,,,,,,,,,,,,Philosophie des Sozialen,Diskriminierung,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; tag_project: {{  }} => {{ philosophy olympiad }} ;;; tag_public: {{  }} => {{ high schools }} ;;; intro_image_portal: {{  }} => {{ justice-2071539_640.jpg }},,,,
671,3230,,Essai sur une citation d'Elinor Mason,"<p>Essai d'Arianna Volpi (Institut Florimont, GE), gagnante des <a href=""https://science.olympiad.ch/fr/actuel/detail/news/news/deux-jeunes-filles-gagnent-lor-en-philosophie/"" target=""_blank"" rel=""noopener"" data-link-target=""blank"">Olympiades suisses de philosophie</a></p>",Essai sur une citation d'Elinor Mason,"<p style=""text-align: center;"">« Il est clair que nous pouvons jouir de choses que nous ne désirons pas et désirer des choses dont nous ne jouissons pas. Il semble donc que toute analyse du plaisir en terme de désir est vouée à l’échec. » (Elinor Mason, « The nature of Pleasure : A critique of Feldman »)</p>",,en-UK,2019-04-02-volpi,/2019-04-02-volpi,https://www.philosophie.ch/2019-04-02-volpi,GET,,,,,,43557,article,article,,,French,,,philosophy olympiad,high schools,,,,,,,,,volpi-a,2019-04-02-volpi.jpg,"Apollo_pursuing_the_nymph_Daphne,_by_Theodoor_van_Thulden.jpg",,,,,,,,,,,,,,,,Méta-éthique,,,,"tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ French }} ;;; tag_project: {{  }} => {{ philosophy olympiad }} ;;; tag_public: {{  }} => {{ high schools }} ;;; intro_image_portal: {{  }} => {{ Apollo_pursuing_the_nymph_Daphne,_by_Theodoor_van_Thulden.jpg }}",,,,
940,3233,,Wer kritisiert wen?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Wer kritisiert wen?,<p>Wie lässt sich der gesellschaftliche Zustand kritisieren?</p> <p>Kralle wird rebellisch und befasst sich mit Philosophie des Sozialen: Dabei fällt ins Auge: Kaum wird etwas positiv formuliert. Weshalb?</p>,,en-UK,2019-04-02-kralle,/2019-04-02-kralle,https://www.philosophie.ch/2019-04-02-kralle,GET,,,,,,43557,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-04-02-kralle.png,2019_thumb_sozialphilosophie.png,,,,,,,,,,,,,,,,Philosophie des Sozialen,,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Wie lässt sich der gesellschaftliche Zustand kritisieren?</p> <p>Kralle wird rebellisch und befasst sich mit Sozialphilosophie: Dabei fällt ins Auge: Kaum wird etwas positiv formuliert. Weshalb?</p> }} => {{ <p>Wie lässt sich der gesellschaftliche Zustand kritisieren?</p> <p>Kralle wird rebellisch und befasst sich mit Philosophie des Sozialen: Dabei fällt ins Auge: Kaum wird etwas positiv formuliert. Weshalb?</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_sozialphilosophie.png }}",,,,
1838,3241,,Weisheiten zum Thema Glück,,Weisheiten zum Thema Glück,<p>Sind die Weisheiten der alten Denker heute noch gültig?</p>,,en-UK,2019-04-08-ostendorf,/2019-04-08-ostendorf,https://www.philosophie.ch/2019-04-08-ostendorf,GET,,,,,,43563,article,article,,,German,,,,,,,,,,,,,ostendorf-r,2019-04-08-ostendorf.jpg,Schule in Athen.jpg,,,,,,,,,,,,,,,,Antike Philosophie,Gutes Leben,,,intro_image_portal: {{  }} => {{ Schule in Athen.jpg }},,,,
1839,3261,,À propos du cours de Gilles Deleuze,,À propos du cours de Gilles Deleuze,"<p>Le présent article se propose de donner un aperçu bref mais global du cours de Gilles Deleuze, corpus relativement méconnu dans le détail, de sorte qu’il soit plus aisé de s’orienter dans cette vaste et magnifique archive.</p>",,en-UK,2019-04-12-haas,/2019-04-12-haas,https://www.philosophie.ch/2019-04-12-haas,GET,,,,,,43567,article,article,,,French,,,,,,,,,,,,,haas-mh,2019-04-12-haas.png,gilles-deleuze_109870.png,,,,,,,,,,,,,,,,Philosophie moderne et contemporaine,,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ French }} ;;; intro_image_portal: {{  }} => {{ gilles-deleuze_109870.png }},,,,
941,3264,,Womit beschäftigt sich Wissenschaft eigentlich?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Womit beschäftigt sich Wissenschaft eigentlich?,"<p>Was bedeutet eigentlich ""wissenschaftlich belegt""?</p> <p>Kralle ist skeptisch und lässt sich nicht so leicht zufrieden stellen. Die Wissenschaft will Wissen schaffen. Aber wie macht sie das?</p>",,en-UK,2019-04-16-kralle,/2019-04-16-kralle,https://www.philosophie.ch/2019-04-16-kralle,GET,,,,,,43571,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-04-16-kralle.png,2019_thumb_wissenschaftstheorie.png,,,,,,,,,,,,,,,,Wissenschaftsphilosophie,,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Was bedeutet eigentlich ""wissenschaftlich belegt""?</p> <p>Kralle ist skeptisch und lässt sich nicht so leicht zufrieden stellen. Die Wissenschaft will Wissen schaffen. Aber wie macht sie das?</p> }} => {{ <p>Was bedeutet eigentlich ""wissenschaftlich belegt""?</p> <p>Kralle ist skeptisch und lässt sich nicht so leicht zufrieden stellen. Die Wissenschaft will Wissen schaffen. Aber wie macht sie das?</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_wissenschaftstheorie.png }}",,,,
942,3272,,Gibt es Sprache ohne Mehrdeutigkeit?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Gibt es Sprache ohne Mehrdeutigkeit?,"<p>Wie lassen sich sprachliche Äusserungen korrekt interpretieren?</p> <p>Kralle bemerkt, dass mit jeder neuen Information ein neues Verständnis eines Inhaltes entstehen kann. Wie geht die Philosophie mit unterschiedlichen Interpretationen um?</p>",,en-UK,2019-04-24-kralle,/2019-04-24-kralle,https://www.philosophie.ch/2019-04-24-kralle,GET,,,,,,43579,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-04-24-kralle.png,2019_thumb_hermeneutik.png,,,,,,,,,,,,,,,,Hermeneutik,,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Wie lassen sich sprachliche Äusserungen korrekt interpretieren?</p> <p>Kralle bemerkt, dass mit jeder neuen Information ein neues Verständnis eines Inhaltes entstehen kann. Wie geht die Philosophie mit unterschiedlichen Interpretationen um?</p> }} => {{ <p>Wie lassen sich sprachliche Äusserungen korrekt interpretieren?</p> <p>Kralle bemerkt, dass mit jeder neuen Information ein neues Verständnis eines Inhaltes entstehen kann. Wie geht die Philosophie mit unterschiedlichen Interpretationen um?</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_hermeneutik.png }}",,,,
1841,3273,,Philosophische Religionskritik im Nahen Osten,,Philosophische Religionskritik im Nahen Osten,<p>Geschichten west-östlicher Verflechtungen</p>,,en-UK,2019-04-24-vonkuegelgen,/2019-04-24-vonkuegelgen,https://www.philosophie.ch/2019-04-24-vonkuegelgen,GET,,,,,,43579,article,article,,,German,,,,,,,,,,,,,vonkuegelgen,2019-04-24-vonkuegelgen.jpg,balance-blur-boulder-355863.jpg,,,,,,,,,,,,,,,,"Religionsphilosophie, Philosophie des Sozialen",,,,tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ balance-blur-boulder-355863.jpg }},,,,
3792,3276,,COLLEGIUM HELVETICUM Creating Coherence: The Role of Narratives in Science,,Creating Coherence: The Role of Narratives in Science,,,de,community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/collegium-helveticum/creating-coherence-the-role-of-narratives-in-science,/de/community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/collegium-helveticum/creating-coherence-the-role-of-narratives-in-science,https://www.philosophie.ch/de/community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/collegium-helveticum/creating-coherence-the-role-of-narratives-in-science,GET,,,,,,43579,event,,,,,,,,,,,,,,,,PB check,raess,,,,,,,,,,,,,,,,,,,,,,,,,,
3798,3279,,PAULUS AKADEMIE  Soll ich meine Daten spenden?,,Soll ich meine Daten spenden?,,,de,community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/klima-retten-tofu-essen/soll-ich-meine-daten-spenden,/de/community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/klima-retten-tofu-essen/soll-ich-meine-daten-spenden,https://www.philosophie.ch/de/community-zum-ordnen-alle-sprachen/philosophischeorte-zumordnen/klima-retten-tofu-essen/soll-ich-meine-daten-spenden,GET,,,,,,43580,event,,,,,,,,,,,,,,,,PB check,raess,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,3290,,Vom Spurenlesen der Erinnerungen,,Vom Spurenlesen der Erinnerungen,<p ><span ><span >Ein Essay gegen das Vergessen </span></span></p> <p ><span ><span > Ein Essay für das Verbinden </span></span></p>,,en-UK,2019-05-01-wimmervonhuber,/2019-05-01-wimmervonhuber,https://www.philosophie.ch/2019-05-01-wimmervonhuber,GET,,,,,,43586,article,article,,,German,,,,,,,,,,,,,wimmervonhuber,2019-05-01-wimmervonhuber.png,spe.png,,,,,,,,,,,,,,,,Ästhetik,,,,pre_headline: {{ <p>Von Anna W. von Huber</p> }} => {{  }} ;;; lead_text: {{ <p ><span ><span >Ein Essay gegen das Vergessen </span></span></p> <p ><span ><span > Ein Essay für das Verbinden </span></span></p> }} => {{ <p ><span ><span >Ein Essay gegen das Vergessen </span></span></p> <p ><span ><span > Ein Essay für das Verbinden </span></span></p> }} ;;; tag_page_type: {{  }} => {{ article }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ spe.png }},,,,
3006,3293,,COURSE Onlinelernkurs Ethik,,Ethische Überlegungen,<p>Was genau macht eine Handlung richtig? Was eine Handlung falsch? Wann ist Lob wirklich angebracht? Und mit welchen Gründen dürfen wir andere kritisieren?</p>,,en-UK,onlinelernkurs-ethik,/onlinelernkurs-ethik,https://www.philosophie.ch/onlinelernkurs-ethik,GET,,,,,,43588,standard,portal page,,,German,,,course,,,,,,,,,PB check,,onlinelernkurs-ethik.jpg,,,,,,,,,,,,,,,,,"Angewandte Ethik, Theoretische Ethik",,,partial success,intro_image_portal: {{  }} => {{ psychology-6852458_1280.jpg }} ;;; picture_assets: {{  }} => {{ empty }},--- picture_block: {{ AssetBlocksAndUrlsMismatch :: Number of picture_blocks and number of URLs do not match. Found 1 picture_block blocks but 0 URLs/asset names. }},,,
943,3294,,Ist Kultur ein Gegensatz zur Natur?,"<p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p>",Ist Kultur ein Gegensatz zur Natur?,"<p>Inwiefern bin ich nicht Teil der Natur?</p> <p>Kralle bemerkt, dass sich der Mensch von seiner Umwelt unterscheidet und abgrenzt. Aber ist er deshalb ""besser"" als die Natur? Welche Stellung hat er wirklich?</p>",,en-UK,2019-05-03-kralle,/2019-05-03-kralle,https://www.philosophie.ch/2019-05-03-kralle,GET,,,,,,43588,article,article without DOI,,Kralle,German,,,,,,,,,,,,,kralle,2019-05-03-kralle.png,2019_thumb_kulturtheorie.png,,,,,,,,,,,,,,,,,Mensch und Natur,,,"pre_headline: {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} => {{ <p>Kralle, die philosophische Katze,</p> <p>fragt sich heute</p> }} ;;; lead_text: {{ <p>Inwiefern bin ich nicht Teil der Natur?</p> <p>Kralle bemerkt, dass sich der Mensch von seiner Umwelt unterscheidet und abgrenzt. Aber ist er deshalb ""besser"" als die Natur? Welche Stellung hat er wirklich?</p> }} => {{ <p>Inwiefern bin ich nicht Teil der Natur?</p> <p>Kralle bemerkt, dass sich der Mensch von seiner Umwelt unterscheidet und abgrenzt. Aber ist er deshalb ""besser"" als die Natur? Welche Stellung hat er wirklich?</p> }} ;;; tag_page_type: {{  }} => {{ article without DOI }} ;;; tag_content_type: {{  }} => {{ Kralle }} ;;; tag_language: {{  }} => {{ German }} ;;; intro_image_portal: {{  }} => {{ 2019_thumb_kulturtheorie.png }}",,,,
